Before,During,CGPA,"Study_Method_Class lectures and notes only, Solo(Online via video lectures)","Study_Method_I prefer both class notes, solo study with online lectures when needed ",Study_Method_Solo(Offline via books and lecture notes),"Study_Method_Solo(Offline via books and lecture notes), Class lectures and notes only","Study_Method_Solo(Offline via books and lecture notes), Class lectures and notes only, Solo(Online via video lectures)","Study_Method_Solo(Offline via books and lecture notes), Solo(Online via video lectures)",Study_Method_Solo(Online via video lectures),"Study_Method_Solo(Online via video lectures), ","Study_Method_Solo(Online via video lectures), Friend teaches me",Environment_Library,Environment_Room(Group Study),Environment_Room(Solo)
8.0,8.0,7.2,False,False,False,False,True,False,False,False,False,True,False,False
8.0,8.0,9.2,False,False,False,False,False,False,True,False,False,True,False,False
0.0,6.0,7.8,False,False,False,False,False,False,True,False,False,False,True,False
3.0,5.0,8.7,True,False,False,False,False,False,False,False,False,False,False,True
6.0,12.0,9.3,False,False,False,False,False,False,True,False,False,False,False,True
0.0,5.0,6.67,False,False,False,False,False,False,True,False,False,False,True,False
0.0,15.0,8.3,False,False,True,False,False,False,False,False,False,False,True,False
2.0,4.0,8.1,True,False,False,False,False,False,False,False,False,False,False,True
4.0,5.0,8.86,False,False,False,False,False,False,True,False,False,False,False,True
1.5,4.0,8.3,True,False,False,False,False,False,False,False,False,True,False,False
0.0,3.0,7.8,True,False,False,False,False,False,False,False,False,False,False,True
1.0,4.0,7.5,False,False,False,False,False,True,False,False,False,True,False,False
4.0,8.5,9.24,False,False,False,False,False,False,False,False,False,True,False,False
1.5,7.0,8.7,False,False,False,False,False,False,False,False,False,False,False,True
0.0,3.0,7.15,False,False,False,False,False,False,True,False,False,False,False,True
7.0,10.0,8.89,False,False,False,False,False,True,False,False,False,False,False,True
2.5,4.5,7.6,False,False,False,False,False,False,True,False,False,False,False,True
0.15,3.0,6.12,False,False,False,False,False,True,False,False,False,False,False,True
12.0,8.0,9.56,False,False,False,False,False,False,True,False,False,False,False,True
8.0,13.0,9.7,False,False,False,True,False,False,False,False,False,False,False,True
0.5,50.0,7.2,False,False,False,False,False,False,True,False,False,False,True,False
3.0,7.5,8.66,True,False,False,False,False,False,False,False,False,False,False,True
1.0,2.0,5.78,False,False,True,False,False,False,False,False,False,False,True,False
4.0,6.5,8.45,False,False,False,False,False,True,False,False,False,True,False,False
2.5,10.5,8.4,False,False,False,False,False,False,True,False,False,False,True,False
0.0,5.0,6.97,False,False,False,False,True,False,False,False,False,False,False,True
2.0,8.0,8.9,False,False,False,False,False,False,True,False,False,False,False,True
2.0,6.0,8.3,False,False,True,False,False,False,False,False,False,False,False,True
3.0,6.0,7.8,False,False,False,True,False,False,False,False,False,False,False,True
6.0,9.0,8.78,False,False,False,False,True,False,False,False,False,False,False,True
2.0,14.0,8.9,False,False,False,False,False,False,True,False,False,False,False,True
0.0,3.0,7.64,False,False,False,False,False,False,True,False,False,False,False,True
0.0,10.0,7.87,False,False,False,False,False,False,True,False,False,False,False,True
0.0,5.0,7.26,True,False,False,False,False,False,False,False,False,False,False,True
2.0,5.0,7.98,False,False,False,False,True,False,False,False,False,False,False,True
3.0,6.0,8.23,False,False,False,False,False,False,True,False,False,False,False,True
2.0,6.0,7.98,False,False,False,False,False,True,False,False,False,False,False,True
2.0,6.0,8.4,False,False,False,False,True,False,False,False,False,True,False,False
3.0,8.0,8.56,False,False,False,False,False,False,True,False,False,False,False,True
2.0,9.0,8.45,False,False,True,False,False,False,False,False,False,False,False,True
0.0,14.0,7.89,False,False,False,False,False,False,True,False,False,False,False,True
6.0,10.0,9.4,False,False,False,True,False,False,False,False,False,False,False,True
0.0,6.0,8.25,True,False,False,False,False,False,False,False,False,False,False,True
5.0,8.0,8.8,False,False,False,False,False,True,False,False,False,False,True,False
2.0,10.0,8.9,False,False,True,False,False,False,False,False,False,False,False,True
3.0,8.0,9.5,False,False,False,False,False,False,True,False,False,True,False,False
2.0,8.0,7.1,False,False,False,False,False,False,True,False,False,False,False,True
7.0,10.0,6.0,False,False,False,False,True,False,False,False,False,False,False,True
2.0,8.0,8.1,False,False,False,False,True,False,False,False,False,False,True,False
0.0,5.0,7.91,False,False,False,False,False,False,True,False,False,False,True,False
2.0,6.0,8.6,False,False,False,True,False,False,False,False,False,False,False,True
4.0,8.0,8.0,False,False,False,False,False,False,True,False,False,False,False,True
2.0,5.0,6.9,False,False,False,False,True,False,False,False,False,False,False,True
0.0,5.0,9.12,False,False,False,False,False,False,False,False,False,False,False,True
6.0,10.0,9.77,False,False,False,False,False,False,True,False,False,True,False,False
0.0,9.0,8.3,False,False,False,False,False,False,False,False,True,False,True,False
0.0,6.0,7.4,False,False,True,False,False,False,False,False,False,False,False,True
3.0,5.0,8.9,False,False,False,False,False,False,True,False,False,False,False,True
3.0,7.0,6.83,False,False,False,False,False,False,False,False,False,False,True,False
3.0,5.0,7.36,True,False,False,False,False,False,False,False,False,False,False,True
0.0,10.0,7.61,False,False,False,False,False,False,True,False,False,True,False,False
0.0,4.0,8.55,False,False,True,False,False,False,False,False,False,False,True,False
0.0,14.0,8.86,False,False,True,False,False,False,False,False,False,False,True,False
0.0,5.0,8.0,False,False,False,False,False,False,True,False,False,False,False,True
3.0,6.0,8.63,False,False,False,False,False,False,True,False,False,False,False,True
3.0,4.0,8.5,True,False,False,False,False,False,False,False,False,False,False,True
2.0,5.0,9.77,False,False,False,False,True,False,False,False,False,False,False,True
0.0,10.0,8.0,False,False,False,False,False,False,True,False,False,False,False,True
0.0,11.0,7.1,False,False,False,False,False,False,True,False,False,False,False,True
0.0,12.0,7.4,False,False,False,False,False,False,True,False,False,False,False,True
0.0,7.0,8.5,False,False,False,False,False,False,True,False,False,False,True,False
3.0,5.0,7.0,False,False,False,False,False,False,True,False,False,False,False,True
4.0,14.0,8.01,False,False,False,False,False,False,False,True,False,False,False,True
0.0,5.0,6.98,False,False,False,False,False,False,True,False,False,False,False,True
2.0,7.0,7.29,False,False,False,False,False,False,True,False,False,True,False,False
2.0,11.0,9.2,False,False,False,False,False,False,True,False,False,False,False,True
2.0,3.0,8.05,False,False,False,False,False,False,True,False,False,False,False,True
2.0,14.0,7.2,False,False,False,False,False,False,True,False,False,False,True,False
0.0,10.0,8.5,False,False,False,False,False,False,True,False,False,False,False,True
0.0,5.0,9.64,False,False,True,False,False,False,False,False,False,False,False,False
4.0,6.0,9.1,False,False,False,False,False,False,True,False,False,False,False,True
4.0,6.0,8.0,False,False,False,False,False,True,False,False,False,False,False,True
2.0,8.0,9.15,False,False,False,False,False,False,True,False,False,False,False,True
8.0,7.0,7.9,False,False,True,False,False,False,False,False,False,False,False,True
2.0,3.0,8.93,False,False,True,False,False,False,False,False,False,False,False,True
2.0,8.0,8.95,False,False,False,True,False,False,False,False,False,False,False,True
2.0,11.0,9.07,False,False,False,False,False,True,False,False,False,False,False,True
0.0,4.0,7.58,True,False,False,False,False,False,False,False,False,False,False,True
0.0,7.0,8.3,True,False,False,False,False,False,False,False,False,False,False,True
2.0,5.0,8.93,False,False,False,False,False,True,False,False,False,False,False,True
0.0,6.0,8.4,False,False,False,False,False,False,True,False,False,False,True,False
0.0,7.0,8.3,False,False,False,False,False,False,True,False,False,False,False,True
2.0,10.0,6.0,False,False,False,False,True,False,False,False,False,False,False,True
0.0,14.0,9.0,False,False,False,False,True,False,False,False,False,False,True,False
3.0,9.0,8.83,False,False,False,False,False,False,True,False,False,True,False,False
5.0,9.0,9.32,False,False,False,True,False,False,False,False,False,False,False,True
0.0,14.0,9.8,False,False,False,False,False,False,False,False,False,True,False,False
3.0,6.0,7.88,False,False,False,True,False,False,False,False,False,False,False,True
3.0,6.0,7.44,False,False,False,False,False,False,True,False,False,False,False,True
0.0,6.0,8.22,False,False,False,False,False,True,False,False,False,False,True,False
3.0,6.0,8.8,False,False,False,False,False,False,False,False,False,False,False,True
5.0,8.0,7.5,False,False,False,False,False,False,False,False,False,False,False,True
3.0,9.0,7.61,False,True,False,False,False,False,False,False,False,False,False,True
4.0,12.0,7.21,False,False,False,False,False,False,False,False,False,False,False,True
0.0,6.0,9.27,False,False,False,False,False,True,False,False,False,False,False,True
2.0,8.0,9.18,False,False,True,False,False,False,False,False,False,False,False,True
8.0,10.0,7.6,False,False,False,False,False,False,True,False,False,False,True,False
2.0,10.0,8.91,False,False,False,False,False,False,True,False,False,False,False,True
